Team,Total DVOA Rank,Total DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA
ARI,10,0.11,15,0.03,6,-0.08,20,0
ATL,30,-0.29,28,-0.17,30,0.11,22,-0.01
BAL,19,-0.03,17,0.02,28,0.09,1,0.05
BUF,2,0.28,10,0.1,1,-0.18,19,0
CAR,27,-0.24,31,-0.23,15,0,24,-0.02
CHI,24,-0.11,26,-0.14,13,-0.01,7,0.02
CIN,17,0,18,0.01,19,0.03,8,0.02
CLE,13,0.05,14,0.04,11,-0.03,25,-0.02
DAL,1,0.31,6,0.14,2,-0.15,6,0.02
DEN,18,-0.01,12,0.06,20,0.03,30,-0.04
DET,29,-0.27,29,-0.18,29,0.11,10,0.01
GB,8,0.12,2,0.2,22,0.04,32,-0.05
HOU,28,-0.24,30,-0.22,23,0.04,9,0.01
IND,11,0.1,13,0.04,8,-0.05,14,0
JAX,32,-0.31,27,-0.15,31,0.12,31,-0.04
KC,7,0.17,3,0.18,24,0.05,3,0.04
LAC,12,0.09,4,0.16,26,0.05,28,-0.02
LAR,5,0.22,8,0.11,5,-0.09,4,0.03
LV,21,-0.05,19,-0.03,17,0.01,21,-0.01
MIA,25,-0.11,24,-0.11,10,-0.03,29,-0.03
MIN,16,0.03,16,0.03,16,0,13,0
NE,4,0.23,9,0.11,4,-0.13,18,0
NO,14,0.05,23,-0.11,3,-0.15,16,0
NYG,31,-0.3,32,-0.28,18,0.03,11,0.01
NYJ,26,-0.19,22,-0.08,32,0.14,2,0.04
PHI,15,0.04,11,0.08,25,0.05,15,0
PIT,23,-0.1,25,-0.11,14,-0.01,17,0
SEA,9,0.12,7,0.13,21,0.04,5,0.03
SF,6,0.2,5,0.15,7,-0.07,26,-0.02
TB,3,0.28,1,0.27,9,-0.03,27,-0.02
TEN,20,-0.03,20,-0.04,12,-0.02,23,-0.01
WAS,22,-0.1,21,-0.05,27,0.06,12,0.01
