week,home_team,home_score_est,away_team,visitor_score_est,spread_line,home_moneyline,away_moneyline,total_line,win_prob,home_score_actual,away_score_actual
6,HOU,23.4,NO,20.6,2.5,114,-135,40.5,0.614,NA,NA
6,JAX,23.7,IND,20.5,-4,-198,164,45.5,0.603,NA,NA
6,MIA,30.3,CAR,19.9,-14,-900,600,48.5,0.872,NA,NA
6,LV,18.4,NE,25.7,-3,-155,130,42.5,0.198,NA,NA
6,LA,26.4,ARI,27.3,-5.5,-238,195,47,0.475,NA,NA
6,NYJ,18,PHI,27.7,6.5,225,-278,42,0.17,NA,NA
6,TB,19,DET,25.4,3.5,142,-170,44.5,0.27,NA,NA
6,BUF,33,NYG,11.2,-15,-950,625,45.5,0.955,NA,NA
6,LAC,22.9,DAL,24.7,2,110,-130,48,0.54,NA,NA
7,NO,21.9,JAX,20.8,NA,NA,NA,NA,0.472,NA,NA
7,BAL,22.7,DET,24.1,NA,NA,NA,NA,0.441,NA,NA
7,CHI,21.2,LV,21.4,NA,NA,NA,NA,0.552,NA,NA
7,IND,20.5,CLE,20.9,NA,NA,NA,NA,0.525,NA,NA
7,NE,17.9,BUF,26.6,NA,NA,NA,NA,0.237,NA,NA
7,NYG,18.7,WAS,24.5,NA,NA,NA,NA,0.277,NA,NA
7,TB,24.6,ATL,16.5,NA,NA,NA,NA,0.751,NA,NA
7,LA,24.6,PIT,19.6,NA,NA,NA,NA,0.757,NA,NA
7,SEA,28.7,ARI,23.9,NA,NA,NA,NA,0.611,NA,NA
7,DEN,26.7,GB,26.2,NA,NA,NA,NA,0.454,NA,NA
7,KC,29.4,LAC,24.5,NA,NA,NA,NA,0.537,NA,NA
7,PHI,31.7,MIA,24.2,NA,NA,NA,NA,0.576,NA,NA
7,MIN,21.6,SF,29.1,NA,NA,NA,NA,0.258,NA,NA
8,BUF,27.9,TB,16.9,NA,NA,NA,NA,0.818,NA,NA
8,CAR,18,HOU,26.9,NA,NA,NA,NA,0.217,NA,NA
8,DAL,27.4,LA,19.4,NA,NA,NA,NA,0.643,NA,NA
8,GB,24.4,MIN,25,NA,NA,NA,NA,0.462,NA,NA
8,IND,20.9,NO,21.4,NA,NA,NA,NA,0.538,NA,NA
8,MIA,27.2,NE,24.3,NA,NA,NA,NA,0.649,NA,NA
8,NYG,17.1,NYJ,22.8,NA,NA,NA,NA,0.379,NA,NA
8,PIT,18.2,JAX,23.1,NA,NA,NA,NA,0.292,NA,NA
8,TEN,23.7,ATL,18.1,NA,NA,NA,NA,0.615,NA,NA
8,WAS,18.1,PHI,27.5,NA,NA,NA,NA,0.243,NA,NA
8,SEA,24.2,CLE,19.1,NA,NA,NA,NA,0.704,NA,NA
8,ARI,25.1,BAL,28.2,NA,NA,NA,NA,0.367,NA,NA
8,DEN,23.2,KC,29.6,NA,NA,NA,NA,0.286,NA,NA
8,SF,31.7,CIN,16,NA,NA,NA,NA,0.902,NA,NA
8,LAC,30.8,CHI,18.2,NA,NA,NA,NA,0.881,NA,NA
8,DET,31,LV,12.8,NA,NA,NA,NA,0.944,NA,NA
9,PIT,17.6,TEN,20.1,NA,NA,NA,NA,0.449,NA,NA
9,KC,31,MIA,25.4,NA,NA,NA,NA,0.522,NA,NA
9,ATL,20.8,MIN,26.2,NA,NA,NA,NA,0.287,NA,NA
9,BAL,24.6,SEA,21.8,NA,NA,NA,NA,0.595,NA,NA
9,CLE,23.4,ARI,22.4,NA,NA,NA,NA,0.451,NA,NA
9,GB,26,LA,24.9,NA,NA,NA,NA,0.476,NA,NA
9,HOU,24.1,TB,21.2,NA,NA,NA,NA,0.555,NA,NA
